friction,density,center_of_mass,scale,max_contact_force,success_rate
,, 0.50  0.0   0.0,, 1.8830612e-02 -2.6117454e-04  8.4864562e+04,0.44
,,-0.50  0.0   0.0,,-168228.9      -2763.6555   30987.834 ,0.201
,, 0.0   0.50  0.0,,-4.0673312e-05 -4.3554066e+01  7.9914069e+02,0.0
,, 0.0   0.50  0.0,,-11036.544  41154.242  47243.133,0.001
,, 0.0  -0.50  0.0,, 4.3811533e-06 -4.0063187e-05  5.6583453e+02,0.0
,, 0.0   0.0   0.50,, -2630.3826 -11449.459  -59675.926 ,0.193
,, 0.0   0.0  -0.50,, 3436109.2     -25417.559 -3932293.2  ,0.075
,, 1     0.0   0.0,,67840.516 15750.435 85681.38 ,0.138
,,-1    0.0   0.0,,-1.7259244e-04 -1.5655381e-04  8.0462390e+02,0.0
,, 0.0   1     0.0,,-5340.9194  -306.7691 10141.356 ,0.001
,, 0.0  -1     0.0,, -1.3528562  13.692746  269.69214  ,0.0
,, 0.0   0.0   1,, 49700.7   42177.11 -13985.58,0.312
,, 0.0   0.0  -1,,-14819.878        21.454123  -7599.172   ,0.065
,,,0.5,-204.07736 1432.212   -455.1699 ,0.001
,,,0.75,-5022.9795 -1847.5505  3963.2937,0.037
,,,1.0,  63701.53     6005.097 -149650.52 ,0.381
,,,1.25, -2139.2393 156586.72   -35674.62  ,0.988
,,,1.5, 59038.062  37990.504 -30130.12 ,0.993
,,,1.75,-65411.633  25095.512 -97010.76 ,0.83
,,,2.0,19111.707   1395.4756  7443.6626,0.206
,,,2.25,1.6740343e-03 2.8357538e-04 5.2637891e+03,0.0
,,,2.5,-80060.34  84780.39 187042.19,0.001
,,,2.75,36302.938   216.958  8435.038,0.001
,,,3.0,-120616.92    37312.062   42324.715,0.0
,,,3.25, -30.552723  122.66923  5865.289   ,0.0
,,,3.5,3.1794384e-02 1.8325008e-02 2.4902298e+05,0.007
,,,3.75, 1.9780660e-01 -1.8850151e-01  1.3598362e+06,0.017
,,,4.0, 3.4215748e-02 -1.1129325e-01  2.2258462e+06,0.015
,,,4.25,-1.3958448e-01 -4.3796968e-02  5.4521756e+05,0.009
,,,4.5, 1.46734845e-02 -9.36994515e-03  4.82635906e+05,0.025
,,,4.75, -2182.2842   1707.2922 277146.84  ,0.032
,,,5.0, 2.0151539e-01 -3.1394348e-01  5.7803145e+06,0.102
,,,5.25,-170765.     91378.43  128511.79,0.167
,,,5.5, 2.2749200e-02 -9.2157580e-02  1.9803266e+06,0.326
,,,5.75,6.3903637e+00 4.2016811e+00 3.4174996e+07,0.431
,,,6.0,-3078284.2     106081.734  1707477.4  ,0.409
,,,6.25,-531763.8  -508713.25 -130113.8 ,0.246
,,,6.5,-777531.2  670719.8 1444836.2,0.117
,,,7.0,-1688305.2   -245803.69   463580.6 ,0.095
,,,7.5,-120806.055  794345.25   -16976.527,0.247
,,,8.0,278469.34 334531.66 131177.67,0.314
,,,8.5, -60646.418 -172089.06  -457837.9  ,0.33
,,,9.0,8.6309491e-03 1.4326082e-02 1.5906689e+05,0.161
,,,9.5,-3.1177078e+02 -8.2321106e+01  1.8352788e+05,0.084
,,,10.0,-49914.7      8056.4194 189568.62  ,0.042
