,method,environment,success,num_envs,run_name,model_name,split,distribution
0,scripted,EnvBottle-v0-phys-rand-with-cond,0.0830078125,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
1,scripted,EnvBottle-v0-phys-rand,0.1513671875,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
2,scripted,EnvBottle-v0-phys-rand-with-cond,0.083984375,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
3,scripted,EnvBottle-v0-phys-rand,0.1328125,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
4,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
5,scripted,EnvBottle-v0-phys-rand,0.0009765625,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
6,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
7,scripted,EnvBottle-v0-phys-rand,0.0009765625,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
8,scripted,EnvBottle-v0-phys-rand-with-cond,0.2998046875,1024,irrelevant,model_1750.pt,test,"beta(a=6.1, b=50.0)"
9,scripted,EnvBottle-v0-phys-rand,0.111328125,1024,irrelevant,model_1750.pt,test,"beta(a=6.1, b=50.0)"
10,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1750.pt,test,"beta(a=50, b=6.1)"
11,scripted,EnvBottle-v0-phys-rand,0.0,1024,irrelevant,model_1750.pt,test,"beta(a=50, b=6.1)"
12,scripted,EnvBottle-v0-phys-rand-with-cond,0.0283203125,1024,irrelevant,model_1750.pt,test,"beta(a=50, b=50)"
13,scripted,EnvBottle-v0-phys-rand,0.017578125,1024,irrelevant,model_1750.pt,test,"beta(a=50, b=50)"
14,scripted,EnvBottle-v0-phys-rand-with-cond,0.2919921875,1024,irrelevant,model_1750.pt,train1,"beta(a=6.1, b=50.0)"
15,scripted,EnvBottle-v0-phys-rand,0.09765625,1024,irrelevant,model_1750.pt,train1,"beta(a=6.1, b=50.0)"
16,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1750.pt,train1,"beta(a=50, b=6.1)"
17,scripted,EnvBottle-v0-phys-rand,0.0,1024,irrelevant,model_1750.pt,train1,"beta(a=50, b=6.1)"
18,scripted,EnvBottle-v0-phys-rand-with-cond,0.0283203125,1024,irrelevant,model_1750.pt,train1,"beta(a=50, b=50)"
19,scripted,EnvBottle-v0-phys-rand,0.0107421875,1024,irrelevant,model_1750.pt,train1,"beta(a=50, b=50)"
20,scripted,EnvBottle-v0-phys-rand-with-cond,0.05859375,1024,irrelevant,model_1250.pt,test,"beta(a=6.1, b=50.0)"
21,scripted,EnvBottle-v0-phys-rand,0.1015625,1024,irrelevant,model_1250.pt,test,"beta(a=6.1, b=50.0)"
22,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1250.pt,test,"beta(a=50, b=6.1)"
23,scripted,EnvBottle-v0-phys-rand,0.0,1024,irrelevant,model_1250.pt,test,"beta(a=50, b=6.1)"
24,scripted,EnvBottle-v0-phys-rand-with-cond,0.01171875,1024,irrelevant,model_1250.pt,test,"beta(a=50, b=50)"
25,scripted,EnvBottle-v0-phys-rand,0.01953125,1024,irrelevant,model_1250.pt,test,"beta(a=50, b=50)"
26,scripted,EnvBottle-v0-phys-rand-with-cond,0.0771484375,1024,irrelevant,model_1250.pt,train1,"beta(a=6.1, b=50.0)"
27,scripted,EnvBottle-v0-phys-rand,0.0830078125,1024,irrelevant,model_1250.pt,train1,"beta(a=6.1, b=50.0)"
28,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1250.pt,train1,"beta(a=50, b=6.1)"
29,scripted,EnvBottle-v0-phys-rand,0.0,1024,irrelevant,model_1250.pt,train1,"beta(a=50, b=6.1)"
30,scripted,EnvBottle-v0-phys-rand-with-cond,0.0185546875,1024,irrelevant,model_1250.pt,train1,"beta(a=50, b=50)"
